Month,#Passengers
1949-01-01,112
1949-01-02,118
1949-01-03,132
1949-01-04,129
1949-01-05,121
1949-01-06,135
1949-01-07,148
1949-01-08,148
1949-01-09,136
1949-01-10,119
1949-01-11,104
1949-01-12,118
1949-01-13,115
1949-01-14,126
1949-01-15,141
1949-01-16,135
1949-01-17,125
1949-01-18,149
1949-01-19,170
1949-01-20,170
1949-01-21,158
1949-01-22,133
1949-01-23,114
1949-01-24,140
1949-01-25,145
1949-01-26,150
1949-01-27,178
1949-01-28,163
1949-01-29,172
1949-01-30,178
1949-01-31,199
1949-02-01,199
1949-02-02,184
1949-02-03,162
1949-02-04,146
1949-02-05,166
1949-02-06,171
1949-02-07,180
1949-02-08,193
1949-02-09,181
1949-02-10,183
1949-02-11,218
1949-02-12,230
1949-02-13,242
1949-02-14,209
1949-02-15,191
1949-02-16,172
1949-02-17,194
1949-02-18,196
1949-02-19,196
1949-02-20,236
1949-02-21,235
1949-02-22,229
1949-02-23,243
1949-02-24,264
1949-02-25,272
1949-02-26,237
1949-02-27,211
1949-02-28,180
1949-03-01,201
1949-03-02,204
1949-03-03,188
1949-03-04,235
1949-03-05,227
1949-03-06,234
1949-03-07,264
1949-03-08,302
1949-03-09,293
1949-03-10,259
1949-03-11,229
1949-03-12,203
1949-03-13,229
1949-03-14,242
1949-03-15,233
1949-03-16,267
1949-03-17,269
1949-03-18,270
1949-03-19,315
1949-03-20,364
1949-03-21,347
1949-03-22,312
1949-03-23,274
1949-03-24,237
1949-03-25,278
1949-03-26,284
1949-03-27,277
1949-03-28,317
1949-03-29,313
1949-03-30,318
1949-03-31,374
1949-04-01,413
1949-04-02,405
1949-04-03,355
1949-04-04,306
1949-04-05,271
1949-04-06,306
1949-04-07,315
1949-04-08,301
1949-04-09,356
1949-04-10,348
1949-04-11,355
1949-04-12,422
1949-04-13,465
1949-04-14,467
1949-04-15,404
1949-04-16,347
1949-04-17,305
1949-04-18,336
1949-04-19,340
1949-04-20,318
1949-04-21,362
1949-04-22,348
1949-04-23,363
1949-04-24,435
1949-04-25,491
1949-04-26,505
1949-04-27,404
1949-04-28,359
1949-04-29,310
1949-04-30,337
1949-05-01,360
1949-05-02,342
1949-05-03,406
1949-05-04,396
1949-05-05,420
1949-05-06,472
1949-05-07,548
1949-05-08,559
1949-05-09,463
1949-05-10,407
1949-05-11,362
1949-05-12,405
1949-05-13,417
1949-05-14,391
1949-05-15,419
1949-05-16,461
1949-05-17,472
1949-05-18,535
1949-05-19,622
1949-05-20,606
1949-05-21,508
1949-05-22,461
1949-05-23,390
1949-05-24,432
